KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Laurie MARCEAU POSITION,Laurie MARCEAU LAP TIME,Laurie MARCEAU ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME
3,14.19,14.19,2,14.14,14.14,1,14.08,14.08,4,14.46,14.46
2,11.08,25.27,1,11.05,25.20,3,11.20,25.29,4,11.11,25.58
3,11.18,36.46,1,11.21,36.41,2,11.12,36.42,4,11.26,36.85
3,11.12,47.58,1,11.06,47.48,2,11.10,47.52,4,11.04,47.89
3,10.72,58.30,1,10.75,58.24,2,10.75,58.28,4,10.75,58.64
1,10.19,1:08.49,3,10.39,1:08.64,2,10.26,1:08.54,4,10.17,1:08.82
1,9.54,1:18.03,2,9.45,1:18.09,3,9.65,1:18.20,4,9.84,1:18.66
1,9.54,1:27.58,3,9.50,1:27.60,2,9.38,1:27.58,4,9.65,1:28.32
1,9.76,1:37.340,3,9.83,1:37.424,2,9.84,1:37.413,4,10.08,1:38.398
