YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME
3,13.56,13.56,1,13.36,13.36,2,13.46,13.46,5,13.77,13.77,4,13.65,13.65
3,10.61,24.17,1,10.57,23.93,2,10.51,23.97,5,10.62,24.39,4,10.63,24.28
2,10.34,34.51,5,21.10,45.03,1,10.43,34.40,4,10.27,34.66,3,10.34,34.62
2,10.56,45.07,5,13.12,58.15,1,10.52,44.92,4,10.61,45.27,3,10.55,45.17
2,10.18,55.25,5,12.12,1:10.27,1,10.23,55.15,4,10.17,55.44,3,10.18,55.35
2,10.06,1:05.31,5,12.72,1:22.99,1,10.09,1:05.24,4,10.05,1:05.49,3,10.06,1:05.41
2,10.03,1:15.34,5,13.42,1:36.41,1,10.02,1:15.26,4,10.07,1:15.56,3,10.05,1:15.46
3,10.01,1:25.35,5,11.97,1:48.38,1,10.01,1:25.27,4,9.96,1:25.52,2,9.86,1:25.32
3,10.10,1:35.447,5,12.52,2:00.897,1,10.00,1:35.264,4,10.08,1:35.593,2,9.98,1:35.295
