Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME
3,8.12,8.12,5,8.31,8.31,4,8.17,8.17,1,7.98,7.98,2,7.98,7.98
1,10.98,19.10,5,11.49,19.80,4,11.51,19.68,2,11.63,19.61,3,11.67,19.65
1,10.76,29.86,3,10.39,30.19,2,10.40,30.08,4,10.63,30.24,5,10.81,30.46
1,10.65,40.51,4,10.74,40.93,2,10.66,40.74,3,10.64,40.88,5,10.60,41.06
1,10.31,50.82,5,10.21,51.14,2,10.13,50.87,3,10.04,50.92,4,10.01,51.07
1,9.84,1:00.66,5,9.98,1:01.12,4,10.09,1:00.96,3,9.93,1:00.85,2,9.69,1:00.76
1,9.27,1:09.93,5,9.08,1:10.20,2,9.04,1:10.00,3,9.26,1:10.11,4,9.41,1:10.17
1,9.46,1:19.39,5,9.83,1:20.03,2,9.56,1:19.56,3,9.60,1:19.71,4,9.62,1:19.79
3,10.02,1:29.41,5,9.73,1:29.76,2,9.79,1:29.35,1,9.60,1:29.31,4,9.69,1:29.48
4,9.74,1:39.15,5,9.52,1:39.28,2,9.67,1:39.02,1,9.57,1:38.88,3,9.60,1:39.08
4,9.55,1:48.70,5,9.50,1:48.78,3,9.56,1:48.58,1,9.56,1:48.44,2,9.48,1:48.56
4,9.47,1:58.17,5,9.51,1:58.29,2,9.45,1:58.03,1,9.51,1:57.95,3,9.61,1:58.17
2,9.11,2:07.28,5,9.32,2:07.61,3,9.45,2:07.48,1,9.30,2:07.25,4,9.43,2:07.60
2,9.89,2:17.170,4,9.70,2:17.302,3,9.70,2:17.176,1,9.47,2:16.716,0,,DQ
