Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME
2,12.28,12.28,1,12.24,12.24,4,12.44,12.44,5,12.55,12.55,3,12.36,12.36
4,9.60,21.88,1,9.48,21.72,2,9.35,21.79,3,9.30,21.85,5,9.60,21.96
4,9.27,31.15,2,9.20,30.92,3,9.23,31.02,1,8.94,30.79,5,9.29,31.25
4,8.89,40.04,3,9.04,39.96,2,8.85,39.87,1,9.02,39.81,5,8.82,40.07
4,8.98,49.02,2,8.82,48.78,3,8.93,48.80,1,8.91,48.72,5,9.04,49.11
4,8.91,57.93,2,8.98,57.76,3,9.03,57.83,1,8.99,57.71,5,8.90,58.01
4,9.05,1:06.98,1,8.90,1:06.66,2,8.95,1:06.78,3,9.19,1:06.90,5,9.13,1:07.14
3,8.81,1:15.79,1,8.91,1:15.57,2,8.87,1:15.65,4,8.91,1:15.81,5,9.95,1:17.09
3,8.97,1:24.76,1,9.09,1:24.66,2,9.04,1:24.69,4,9.44,1:25.257,5,11.01,1:28.106
