WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME
4,14.43,14.43,1,14.19,14.19,3,14.32,14.32,2,14.28,14.28,5,14.51,14.51
5,10.43,24.86,3,10.62,24.81,4,10.51,24.83,2,10.41,24.69,1,10.03,24.54
4,9.76,34.62,2,9.67,34.48,5,9.95,34.78,1,9.76,34.45,3,9.99,34.53
4,9.55,44.17,2,9.54,44.02,5,9.47,44.25,1,9.50,43.95,3,9.62,44.15
4,9.86,54.03,2,9.60,53.62,3,9.55,53.80,1,9.57,53.52,5,10.02,54.17
4,9.54,1:03.57,2,9.42,1:03.04,3,9.34,1:03.14,1,9.41,1:02.93,5,9.52,1:03.69
4,9.57,1:13.14,2,9.48,1:12.52,3,9.39,1:12.53,1,9.25,1:12.18,5,9.49,1:13.18
5,9.95,1:23.09,3,9.85,1:22.37,2,9.64,1:22.17,1,9.39,1:21.57,4,9.66,1:22.84
5,10.15,1:33.228,3,10.20,1:32.560,2,9.89,1:32.06,1,9.91,1:31.48,4,9.76,1:32.589
