Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
1,12.34,12.34,4,12.77,12.77,2,12.44,12.44,3,12.63,12.63
1,9.71,22.05,4,9.58,22.35,3,9.69,22.13,2,9.49,22.12
1,9.07,31.12,4,9.15,31.50,3,9.21,31.34,2,9.15,31.27
1,9.19,40.31,4,9.11,40.61,3,9.15,40.49,2,9.11,40.38
2,9.08,49.39,4,9.05,49.66,3,9.01,49.50,1,9.01,49.39
2,9.28,58.67,4,9.23,58.89,3,9.24,58.74,1,9.16,58.55
2,9.24,1:07.91,4,9.26,1:08.15,3,9.28,1:08.02,1,9.23,1:07.78
2,9.10,1:17.01,4,9.05,1:17.20,3,9.17,1:17.19,1,9.12,1:16.90
2,9.23,1:26.233,3,9.12,1:26.319,4,9.40,1:26.586,1,9.24,1:26.138
