Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Lubomir POPOVSKI POSITION,Lubomir POPOVSKI LAP TIME,Lubomir POPOVSKI ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME
4,14.485,14.485,1,14.061,14.061,5,14.780,14.780,3,14.336,14.336,2,14.310,14.310
4,10.004,24.488,1,10.085,24.146,5,9.778,24.557,2,9.919,24.254,3,9.966,24.276
4,10.013,34.501,1,10.033,34.178,5,10.126,34.682,3,10.120,34.373,2,10.014,34.290
4,9.847,44.348,1,9.746,43.924,5,9.712,44.394,3,9.802,44.175,2,9.802,44.091
4,9.844,54.191,1,9.940,53.863,5,9.847,54.241,3,9.815,53.989,2,9.802,53.893
4,9.596,1:03.787,1,9.597,1:03.460,5,9.680,1:03.921,2,9.545,1:03.534,3,9.736,1:03.628
2,9.653,1:13.439,5,10.334,1:13.794,4,9.795,1:13.716,1,9.400,1:12.934,3,9.874,1:13.502
3,9.838,1:23.277,5,10.320,1:24.114,4,9.918,1:23.633,1,9.490,1:22.423,2,9.692,1:23.193
2,9.67,1:32.945,4,10.12,1:34.232,3,10.11,1:33.735,1,9.96,1:32.380,0,,DQ
