Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME
2,12.32,12.32,1,12.23,12.23,4,12.53,12.53,3,12.43,12.43,5,12.58,12.58
1,9.20,21.52,2,9.33,21.56,5,9.28,21.81,3,9.25,21.68,4,9.17,21.75
2,9.03,30.55,1,8.96,30.52,5,9.11,30.92,3,8.97,30.65,4,8.99,30.74
3,9.03,39.58,1,8.86,39.38,5,8.96,39.88,2,8.84,39.49,4,9.09,39.83
3,8.71,48.29,1,8.78,48.16,5,8.80,48.68,2,8.71,48.20,4,8.75,48.58
2,8.86,57.15,1,8.86,57.02,5,8.81,57.49,3,9.03,57.23,4,8.78,57.36
2,9.04,1:06.19,1,9.05,1:06.07,4,8.76,1:06.25,3,9.00,1:06.23,5,9.16,1:06.52
4,9.10,1:15.29,1,9.08,1:15.15,2,8.97,1:15.22,3,9.05,1:15.28,5,9.20,1:15.72
4,9.45,1:24.735,1,9.13,1:24.279,2,9.16,1:24.379,3,9.12,1:24.399,5,9.73,1:25.442
