Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,JEON Ji-Soo POSITION,JEON Ji-Soo LAP TIME,JEON Ji-Soo ELAPSED TIME,WANG Xue POSITION,WANG Xue LAP TIME,WANG Xue ELAPSED TIME
3,13.77,13.77,2,13.66,13.66,4,13.90,13.90,1,13.49,13.49
3,10.99,24.76,2,10.98,24.64,4,10.98,24.88,1,11.02,24.51
3,10.79,35.55,2,10.87,35.51,4,10.87,35.75,1,10.97,35.48
3,10.08,45.63,1,9.86,45.37,4,9.97,45.72,2,9.99,45.47
2,9.51,55.14,1,9.69,55.06,4,9.55,55.27,3,9.75,55.22
1,9.27,1:04.41,2,9.58,1:04.64,4,9.53,1:04.80,3,9.52,1:04.74
1,9.28,1:13.69,2,9.10,1:13.74,3,9.18,1:13.98,4,9.57,1:14.31
1,9.25,1:22.94,3,9.43,1:23.17,2,9.07,1:23.05,4,9.72,1:24.03
1,9.30,1:32.238,3,9.49,1:32.658,2,9.35,1:32.393,4,10.32,1:34.349
