Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME
3,14.339,14.339,4,14.457,14.457,2,14.169,14.169,1,14.091,14.091
1,10.730,25.069,4,10.948,25.405,3,11.086,25.255,2,11.041,25.131
3,10.055,35.123,4,9.967,35.372,2,9.731,34.985,1,9.751,34.882
3,9.292,44.415,4,9.264,44.636,2,9.384,44.369,1,9.485,44.366
1,9.263,53.678,4,9.392,54.027,2,9.358,53.727,3,9.491,53.857
3,9.518,1:03.195,4,9.564,1:03.591,2,9.461,1:03.188,1,9.234,1:03.090
1,9.433,1:12.628,4,9.582,1:13.173,2,9.555,1:12.742,3,9.656,1:12.746
1,9.327,1:21.954,4,9.946,1:23.119,3,9.404,1:22.145,2,9.350,1:22.095
1,9.69,1:31.644,4,10.76,1:33.870,3,9.95,1:32.087,2,9.70,1:31.789
