Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Jose Ignacio FAZIO POSITION,Jose Ignacio FAZIO LAP TIME,Jose Ignacio FAZIO ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Alexis YANG POSITION,Alexis YANG LAP TIME,Alexis YANG ELAPSED TIME
1,6.87,6.87,3,7.02,7.02,2,6.96,6.96,4,7.20,7.20,5,7.40,7.40
1,8.87,15.74,4,9.39,16.41,2,8.90,15.86,3,9.01,16.21,5,9.05,16.45
2,8.74,24.48,5,9.01,25.42,1,8.53,24.39,3,8.64,24.85,4,8.76,25.21
2,8.87,33.35,5,9.17,34.59,1,8.72,33.11,3,8.70,33.55,4,8.92,34.13
2,8.97,42.318,5,9.55,44.137,1,8.86,41.961,3,8.85,42.391,4,9.23,43.353
