Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
2,13.401,13.401,1,13.272,13.272,3,13.480,13.480,5,13.700,13.700,4,13.556,13.556
3,10.329,23.729,2,10.352,23.623,4,10.436,23.916,5,10.218,23.918,1,9.908,23.463
3,10.277,34.006,1,10.174,33.796,5,10.455,34.370,4,10.098,34.015,2,10.338,33.801
2,10.177,44.182,4,10.642,44.438,5,10.076,44.445,3,10.245,44.260,1,10.087,43.887
3,10.248,54.429,5,10.329,54.767,4,10.165,54.610,2,10.019,54.278,1,10.305,54.192
1,9.438,1:03.867,5,9.771,1:04.537,4,9.749,1:04.359,3,9.787,1:04.064,2,9.821,1:04.013
1,9.411,1:13.278,4,9.258,1:13.795,5,9.897,1:14.255,3,9.501,1:13.565,2,9.347,1:13.360
1,9.437,1:22.714,3,9.444,1:23.238,4,9.239,1:23.494,2,9.151,1:22.715,5,10.971,1:24.330
1,9.87,1:32.582,3,9.49,1:32.723,4,9.24,1:32.727,2,9.95,1:32.664,5,11.85,1:36.176
