J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Yonaton Spencer SUBIN POSITION,Yonaton Spencer SUBIN LAP TIME,Yonaton Spencer SUBIN ELAPSED TIME
1,6.88,6.88,3,7.04,7.04,2,7.03,7.03,4,7.89,7.89
1,8.87,15.75,3,9.11,16.15,2,8.85,15.88,4,9.97,17.86
1,8.29,24.04,3,8.66,24.81,2,8.24,24.12,4,9.74,27.60
1,8.36,32.40,3,8.88,33.69,2,8.37,32.49,4,9.75,37.35
2,8.60,40.992,3,8.98,42.665,1,8.50,40.984,4,9.94,47.282
