PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME
1,6.81,6.81,2,6.82,6.82,4,7.24,7.24,3,7.04,7.04
2,9.02,15.83,1,8.84,15.66,4,8.82,16.06,3,8.93,15.97
2,8.39,24.22,1,8.37,24.03,4,8.42,24.48,3,8.37,24.34
2,8.38,32.60,1,8.49,32.52,4,8.34,32.82,3,8.37,32.71
1,8.52,41.112,2,8.65,41.169,4,8.48,41.299,3,8.55,41.258
