Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME
2,8.70,8.70,1,8.52,8.52,4,8.95,8.95,3,8.84,8.84,5,9.11,9.11
3,12.67,21.37,2,12.70,21.22,1,12.14,21.09,4,12.63,21.47,5,12.51,21.62
3,12.44,33.81,2,12.40,33.62,1,12.41,33.50,4,12.44,33.91,5,12.41,34.03
3,12.60,46.41,2,12.68,46.30,1,12.69,46.19,4,12.56,46.47,5,12.58,46.61
4,12.08,58.49,2,12.00,58.30,1,12.04,58.23,3,11.97,58.44,5,12.03,58.64
4,11.80,1:10.29,3,11.78,1:10.08,2,11.78,1:10.01,1,11.56,1:10.00,5,11.75,1:10.39
4,10.85,1:21.14,3,10.90,1:20.98,2,10.89,1:20.90,1,10.82,1:20.82,5,10.94,1:21.33
4,9.67,1:30.81,2,9.47,1:30.45,3,9.68,1:30.58,1,9.53,1:30.35,5,9.49,1:30.82
5,9.22,1:40.03,1,9.24,1:39.69,3,9.27,1:39.85,2,9.35,1:39.70,4,9.08,1:39.90
4,9.11,1:49.14,1,9.20,1:48.89,3,9.16,1:49.01,5,9.47,1:49.17,2,9.07,1:48.97
2,8.86,1:58.00,3,9.14,1:58.03,4,9.25,1:58.26,5,9.51,1:58.68,1,8.93,1:57.90
2,9.01,2:07.01,3,9.11,2:07.14,4,9.34,2:07.60,5,9.56,2:08.24,1,9.03,2:06.93
2,9.34,2:16.35,3,9.33,2:16.47,4,9.88,2:17.48,5,9.99,2:18.23,1,9.33,2:16.26
1,9.42,2:25.767,3,9.46,2:25.930,4,10.55,2:28.026,5,10.38,2:28.605,2,9.66,2:25.911
