Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME
1,12.84,12.84,4,13.20,13.20,2,12.96,12.96,3,13.06,13.06
1,10.00,22.84,4,9.96,23.16,2,9.98,22.94,3,9.99,23.05
1,10.07,32.91,4,10.11,33.27,2,10.10,33.04,3,10.10,33.15
1,9.81,42.72,4,9.83,43.10,2,9.78,42.82,3,9.77,42.92
1,9.62,52.34,4,9.65,52.75,2,9.68,52.50,3,9.66,52.58
2,9.47,1:01.81,4,9.57,1:02.32,1,9.13,1:01.63,3,9.25,1:01.83
3,9.19,1:11.00,4,9.88,1:12.20,1,9.07,1:10.70,2,8.91,1:10.74
3,9.30,1:20.30,4,10.29,1:22.49,1,9.20,1:19.90,2,9.17,1:19.91
3,9.57,1:29.866,4,10.66,1:33.144,2,9.62,1:29.515,1,9.33,1:29.236
