GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME
2,7.11,7.11,4,7.24,7.24,1,7.09,7.09,5,7.33,7.33,3,7.12,7.12
5,9.48,16.59,4,9.33,16.57,2,9.25,16.34,3,9.15,16.48,1,8.71,15.83
5,8.95,25.54,4,8.63,25.20,2,8.62,24.96,3,8.53,25.01,1,8.57,24.40
5,8.90,34.44,4,8.78,33.98,3,8.76,33.72,2,8.54,33.55,1,8.73,33.13
5,9.27,43.71,4,8.86,42.84,3,8.98,42.70,2,8.81,42.36,1,8.89,42.02
