KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Murray COCHRANE POSITION,Murray COCHRANE LAP TIME,Murray COCHRANE ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
4,14.94,14.94,2,14.79,14.79,2,14.79,14.79,1,14.68,,5,15.03,15.03
4,11.07,26.01,1,10.86,25.65,3,11.10,25.89,2,11.09,,5,11.09,26.12
3,10.59,36.60,1,10.70,36.35,4,10.75,36.64,2,10.72,,5,10.67,36.79
1,9.05,45.65,2,9.41,45.76,4,9.32,45.96,3,9.35,,5,9.28,46.07
1,9.36,55.01,2,9.34,55.10,4,9.31,55.27,3,9.33,,5,9.31,55.38
1,9.22,1:04.23,2,9.27,1:04.37,5,9.38,1:04.65,3,9.28,,4,9.14,1:04.52
1,9.21,1:13.44,4,10.14,1:14.51,3,9.16,1:13.81,5,10.10,,2,9.16,1:13.68
1,9.32,1:22.76,4,9.53,1:24.04,3,9.12,1:22.93,5,12.13,,2,9.17,1:22.85
4,29.28,1:51.983,3,9.38,1:33.42,2,9.42,1:32.35,4,13.93,,1,9.41,1:32.26
