CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME
1,12.635,12.635,2,12.818,12.818,3,13.103,13.103
1,10.046,22.680,3,10.085,22.903,2,9.796,22.899
1,9.802,32.482,2,9.639,32.541,3,9.812,32.711
1,9.776,42.258,2,9.873,42.413,3,10.003,42.714
1,9.951,52.208,2,9.947,52.360,3,9.723,52.436
1,9.868,1:02.076,2,9.826,1:02.186,3,10.030,1:02.466
1,9.603,1:11.679,2,9.598,1:11.783,3,10.043,1:12.508
1,9.696,1:21.374,2,9.595,1:21.378,3,9.308,1:21.816
1,9.689,1:31.063,3,10.267,1:31.644,2,9.648,1:31.464
1,9.844,1:40.907,3,9.927,1:41.571,2,10.012,1:41.475
2,9.927,1:50.833,1,9.012,1:50.582,3,9.615,1:51.090
1,9.695,2:00.528,2,10.012,2:00.594,3,10.143,2:01.232
1,9.593,2:10.120,2,9.630,2:10.223,3,10.017,2:11.248
1,9.599,2:19.718,2,9.585,2:19.808,3,9.586,2:20.833
2,9.378,2:29.096,1,9.199,2:29.007,3,9.545,2:30.378
2,9.880,2:38.975,1,9.952,2:38.958,3,9.261,2:39.639
2,9.989,2:48.964,1,9.727,2:48.684,3,9.983,2:49.621
2,10.447,2:59.410,1,10.698,2:59.381,3,10.076,2:59.696
2,9.763,3:09.173,1,9.791,3:09.172,3,9.924,3:09.620
1,9.438,3:18.610,2,9.640,3:18.811,3,9.668,3:19.287
2,9.411,3:28.020,1,9.191,3:28.002,3,9.376,3:28.663
1,9.419,3:37.439,2,9.585,3:37.587,3,9.729,3:38.392
1,9.720,3:47.158,2,9.752,3:47.338,3,10.081,3:48.472
1,9.618,3:56.775,2,9.481,3:56.819,3,9.446,3:57.918
2,9.770,4:06.545,1,9.702,4:06.520,3,9.495,4:07.413
1,9.377,4:15.921,2,9.545,4:16.065,3,9.587,4:17.000
1,9.42,4:25.334,2,9.59,4:25.646,3,9.74,4:26.733
