Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME
3,7.100,7.100,1,6.790,6.790,2,7.030,7.030,4,7.280,7.280
4,9.910,17.010,1,9.580,16.380,2,9.600,16.640,3,9.440,16.720
4,9.260,26.280,2,9.330,25.710,3,9.340,25.980,1,8.970,25.700
3,9.340,35.620,2,9.460,35.180,4,9.890,35.880,1,9.350,35.060
3,9.660,45.280,2,9.700,44.880,4,10.500,46.380,1,9.690,44.750
