LEE Seung-Hoon POSITION,LEE Seung-Hoon LAP TIME,LEE Seung-Hoon ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Derek GRAY POSITION,Derek GRAY LAP TIME,Derek GRAY ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,KURBATOV Evgeniy POSITION,KURBATOV Evgeniy LAP TIME,KURBATOV Evgeniy ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME
0,9.068,9.068,0,8.633,8.633,0,8.916,8.916,0,9.026,9.026,0,9.234,9.234,0,8.779,8.779
0,10.963,20.031,0,11.818,20.451,0,11.415,20.331,0,11.123,20.149,0,11.555,20.789,0,11.559,20.338
0,10.766,30.798,0,10.733,31.184,0,10.691,31.022,0,10.741,30.890,0,10.560,31.349,0,10.615,30.953
0,10.534,41.332,0,10.240,41.424,0,10.477,41.499,0,10.572,41.462,0,10.492,41.841,0,10.388,41.341
0,10.014,51.346,0,9.870,51.294,0,9.909,51.408,0,9.990,51.452,0,9.853,51.695,0,10.067,51.408
0,10.779,1:02.125,0,10.629,1:01.923,0,10.646,1:02.054,0,10.803,1:02.254,0,10.850,1:02.545,0,10.913,1:02.321
0,10.978,1:13.103,0,10.942,1:12.865,0,10.996,1:13.050,0,10.919,1:13.174,0,10.936,1:13.481,0,10.466,1:12.787
0,10.980,1:24.083,0,11.060,1:23.925,0,10.861,1:23.911,0,10.696,1:23.870,0,10.972,1:24.453,0,10.041,1:22.828
0,10.459,1:34.542,0,10.181,1:34.106,0,10.206,1:34.117,0,10.236,1:34.106,0,10.422,1:34.874,0,11.078,1:33.906
0,9.127,1:43.669,0,9.957,1:44.063,0,9.893,1:44.010,0,9.948,1:44.054,0,11.327,1:46.201,0,9.918,1:43.824
0,9.542,1:53.211,0,9.806,1:53.869,0,9.922,1:53.932,0,11.810,1:55.864,0,11.481,1:57.682,0,9.525,1:53.349
0,9.408,2:02.620,0,9.772,2:03.641,0,9.713,2:03.644,0,11.724,2:07.588,0,11.221,2:08.902,0,9.285,2:02.634
0,9.560,2:12.180,0,10.093,2:13.734,0,10.174,2:13.818,0,11.506,2:19.094,0,12.387,2:21.290,0,9.689,2:12.322
0,,,0,,,0,,,0,,,0,,,0,,
