KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,ZHANG Yuting POSITION,ZHANG Yuting LAP TIME,ZHANG Yuting ELAPSED TIME,NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME
1,8.95,8.95,5,9.33,9.33,6,9.54,9.54,4,9.18,9.18,3,9.09,9.09,2,9.04,9.04,7,9.79,
1,12.67,21.62,6,12.78,22.11,5,12.54,22.08,4,12.81,21.99,3,12.77,21.86,2,12.67,21.71,7,12.63,
1,12.62,34.24,4,12.52,34.63,6,12.67,34.75,4,12.64,34.63,3,12.64,34.50,2,12.67,34.38,7,12.51,
3,11.48,45.72,1,10.88,45.51,6,11.25,46.00,5,11.26,45.89,4,11.31,45.81,2,11.24,45.62,7,11.30,
2,10.17,55.89,3,10.55,56.06,6,10.34,56.34,5,10.37,56.26,1,10.02,55.83,4,10.56,56.18,7,10.31,
5,10.36,1:06.25,2,10.10,1:06.16,7,10.05,1:06.39,4,9.96,1:06.22,1,10.25,1:06.08,6,10.11,1:06.29,3,9.63,
6,9.89,1:16.14,1,9.64,1:15.80,7,9.86,1:16.25,5,9.74,1:15.96,4,9.84,1:15.92,3,9.61,1:15.90,2,9.70,
7,9.57,1:25.71,2,9.41,1:25.21,6,9.45,1:25.70,5,9.64,1:25.60,4,9.59,1:25.51,1,9.19,1:25.09,3,9.54,
7,9.70,1:35.41,1,9.67,1:34.88,6,9.59,1:35.29,5,9.60,1:35.20,4,9.61,1:35.12,1,9.79,1:34.88,3,9.63,
7,9.96,1:45.37,1,9.88,1:44.76,6,10.01,1:45.30,5,9.97,1:45.17,4,9.99,1:45.11,2,9.90,1:44.78,3,9.98,
7,9.64,1:55.01,1,9.48,1:54.24,6,9.57,1:54.87,5,9.58,1:54.75,4,9.56,1:54.67,2,9.61,1:54.39,3,9.50,
7,9.29,2:04.30,1,9.34,2:03.58,6,9.37,2:04.24,5,9.35,2:04.10,4,9.35,2:04.02,2,9.38,2:03.77,3,9.41,
7,9.51,2:13.81,1,9.34,2:12.92,6,9.44,2:13.68,5,9.38,2:13.48,4,9.40,2:13.42,2,9.43,2:13.20,3,9.39,
6,9.82,2:23.639,1,9.66,2:22.58,6,9.82,2:23.50,5,9.91,2:23.39,4,9.95,2:23.37,3,10.09,2:23.29,2,9.91,
