Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,Kirill SHASHIN POSITION,Kirill SHASHIN LAP TIME,Kirill SHASHIN ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME
4,10.13,10.13,2,9.89,9.89,3,9.91,9.91,5,10.28,10.28,6,10.53,10.53,1,9.87,9.87
4,13.70,23.83,3,13.73,23.62,2,13.68,23.59,5,13.68,23.96,6,13.63,24.16,1,13.62,23.49
4,12.82,36.65,3,12.90,36.52,2,12.80,36.39,5,12.80,36.76,6,12.78,36.94,1,12.76,36.25
4,12.53,49.18,3,12.54,49.06,2,12.53,48.92,5,12.55,49.31,6,12.51,49.45,1,12.53,48.78
2,11.79,1:00.97,3,12.00,1:01.06,5,12.22,1:01.14,6,11.94,1:01.25,4,11.67,1:01.12,1,12.12,1:00.90
3,10.25,1:11.22,2,10.06,1:11.12,6,10.26,1:11.40,5,10.08,1:11.33,1,9.97,1:11.09,4,10.33,1:11.23
3,9.89,1:21.11,1,9.86,1:20.98,5,9.93,1:21.33,6,10.01,1:21.34,2,9.95,1:21.04,4,10.01,1:21.24
3,10.10,1:31.21,2,10.16,1:31.14,6,10.17,1:31.50,5,10.04,1:31.38,1,10.01,1:31.05,4,10.04,1:31.28
2,9.68,1:40.89,3,9.80,1:40.94,6,9.77,1:41.27,5,9.69,1:41.07,1,9.70,1:40.75,4,9.66,1:40.94
2,8.95,1:49.84,5,9.25,1:50.19,6,9.11,1:50.38,4,9.07,1:50.14,1,8.98,1:49.73,3,9.13,1:50.07
2,8.92,1:58.76,4,8.95,1:59.14,6,8.99,1:59.37,3,8.73,1:58.87,1,8.93,1:58.66,5,9.15,1:59.22
2,9.03,2:07.79,4,9.10,2:08.24,5,9.17,2:08.54,3,9.00,2:07.87,1,8.99,2:07.65,6,9.40,2:08.62
2,9.18,2:16.97,4,9.18,2:17.42,5,9.49,2:18.03,3,9.18,2:17.05,1,9.13,2:16.78,6,9.87,2:18.49
3,9.56,2:26.527,4,9.36,2:26.777,5,10.02,2:28.045,2,9.38,2:26.429,1,9.44,2:26.218,6,10.14,2:28.626
