Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME,Ryu WATANABE POSITION,Ryu WATANABE LAP TIME,Ryu WATANABE ELAPSED TIME,Massimo GURINI POSITION,Massimo GURINI LAP TIME,Massimo GURINI ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,Tarik OMERAGIC POSITION,Tarik OMERAGIC LAP TIME,Tarik OMERAGIC ELAPSED TIME
2,6.71,6.71,3,7.08,7.08,6,7.77,7.77,4,7.26,7.26,5,7.27,7.27,1,6.47,6.47
1,9.04,15.75,3,9.23,16.31,5,9.02,16.79,2,8.66,15.92,6,10.17,17.44,4,9.94,16.41
2,8.91,24.66,3,8.80,25.11,5,9.07,25.86,1,8.63,24.55,6,8.60,26.04,4,8.84,25.25
1,8.19,32.85,6,22.45,47.56,3,9.04,34.90,2,9.08,33.63,4,9.08,35.12,5,10.22,35.47
1,9.32,42.163,6,13.05,1:00.601,3,8.92,43.811,2,9.24,42.862,4,8.97,44.087,5,10.40,45.861
