HAN Seung Soo POSITION,HAN Seung Soo LAP TIME,HAN Seung Soo ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME
2,7.00,7.00,1,7.00,7.00,3,7.12,7.12
1,9.04,16.04,2,9.22,16.22,3,9.17,16.29
1,8.54,24.58,3,8.78,25.00,2,8.70,24.99
1,8.67,33.25,2,9.72,34.72,3,28.75,53.74
1,8.93,42.178,0,,PEN,0,,notime
