BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Timothy DEWISPELAERE POSITION,Timothy DEWISPELAERE LAP TIME,Timothy DEWISPELAERE ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME
5,9.49,9.49,1,9.05,9.05,3,9.19,9.19,2,9.11,9.11,4,9.33,9.33,6,9.65,9.65
5,12.15,21.64,3,12.38,21.43,2,12.08,21.27,1,12.03,21.14,4,12.17,21.50,6,12.12,21.77
4,11.74,33.38,3,11.87,33.30,2,11.87,33.14,1,11.82,32.96,5,11.88,33.38,6,11.71,33.48
5,11.41,44.79,4,11.44,44.74,3,11.46,44.60,2,11.54,44.50,6,11.62,45.00,1,10.91,44.39
4,10.21,55.00,5,10.42,55.16,3,10.34,54.94,2,10.32,54.82,6,10.24,55.24,1,10.28,54.67
3,9.82,1:04.82,5,9.95,1:05.11,1,9.82,1:04.76,4,10.06,1:04.88,6,10.00,1:05.24,2,10.10,1:04.77
1,9.55,1:14.37,2,9.43,1:14.54,3,9.84,1:14.60,5,20.47,1:25.35,4,9.55,1:14.79,6,22.22,1:26.99
1,9.93,1:24.30,2,9.99,1:24.53,3,10.02,1:24.62,6,23.44,1:48.79,4,9.87,1:24.66,5,19.40,1:46.39
1,10.19,1:34.49,2,10.15,1:34.68,3,10.14,1:34.76,6,16.22,2:05.01,4,10.17,1:34.83,5,13.35,1:59.74
1,9.69,1:44.18,2,9.66,1:44.34,3,9.65,1:44.41,6,11.41,2:16.42,4,9.62,1:44.45,5,14.21,2:13.95
1,9.53,1:53.71,2,9.51,1:53.85,3,9.50,1:53.91,6,22.02,2:38.44,4,9.60,1:54.05,5,12.15,2:26.10
2,9.37,2:03.08,1,9.11,2:02.96,3,9.34,2:03.25,6,21.30,2:59.74,4,9.32,2:03.37,5,11.70,2:37.80
2,9.41,2:12.49,1,9.28,2:12.24,3,9.31,2:12.56,6,17.98,3:17.72,4,9.43,2:12.80,5,12.33,2:50.13
2,9.58,2:22.065,1,9.55,2:21.790,3,9.63,2:22.183,0,,PEN,4,10.02,2:22.814,5,11.95,3:02.072
