Ansis ROBS POSITION,Ansis ROBS LAP TIME,Ansis ROBS ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME
3,8.10,8.10,2,7.96,7.96,4,8.28,8.28,1,7.88,7.88,5,8.47,8.47
5,11.73,19.83,2,11.47,19.43,4,11.41,19.69,3,11.61,19.49,1,10.83,19.30
5,10.80,30.63,2,10.91,30.34,4,10.84,30.53,3,10.92,30.41,1,10.95,30.25
5,10.97,41.60,2,10.88,41.22,4,10.96,41.49,3,10.91,41.32,1,10.87,41.12
5,10.71,52.31,2,10.72,51.94,4,10.69,52.18,3,10.72,52.04,1,10.72,51.84
5,10.54,1:02.85,2,10.56,1:02.50,4,10.59,1:02.77,3,10.57,1:02.61,1,10.56,1:02.40
5,10.30,1:13.15,1,10.25,1:12.75,4,10.31,1:13.08,3,10.38,1:12.99,2,10.37,1:12.77
4,9.56,1:22.71,1,9.67,1:22.42,5,9.66,1:22.74,3,9.61,1:22.60,2,9.75,1:22.52
4,9.72,1:32.43,2,9.73,1:32.15,5,9.76,1:32.50,3,9.67,1:32.27,1,9.54,1:32.06
5,9.48,1:41.91,2,9.34,1:41.49,4,9.24,1:41.74,3,9.32,1:41.59,1,9.38,1:41.44
5,9.74,1:51.65,1,9.16,1:50.65,3,9.22,1:50.96,4,9.47,1:51.06,2,9.42,1:50.86
5,10.69,2:02.34,1,9.27,1:59.92,4,9.76,2:00.72,3,9.53,2:00.59,2,9.48,2:00.34
5,11.33,2:13.67,1,9.41,2:09.33,4,12.02,2:12.74,3,9.79,2:10.38,2,9.96,2:10.30
3,12.21,2:25.873,1,10.13,2:19.453,4,17.43,2:30.165,2,10.25,2:20.626,0,,DQ
