Kiichi SHIGEHIRO POSITION,Kiichi SHIGEHIRO LAP TIME,Kiichi SHIGEHIRO ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,WANG Haotian POSITION,WANG Haotian LAP TIME,WANG Haotian ELAPSED TIME,Bram STEENAART POSITION,Bram STEENAART LAP TIME,Bram STEENAART ELAPSED TIME,MURPHY Peter POSITION,MURPHY Peter LAP TIME,MURPHY Peter ELAPSED TIME
1,6.92,6.92,2,7.02,7.02,4,7.29,7.29,3,7.09,7.09,5,7.44,7.44,6,7.65,7.65
2,9.02,15.94,1,8.91,15.93,4,8.89,16.18,3,9.03,16.12,5,8.83,16.27,6,9.22,16.87
2,8.47,24.41,1,8.39,24.32,5,8.71,24.89,3,8.44,24.56,4,8.46,24.73,6,8.81,25.68
2,8.56,32.97,1,8.54,32.86,5,8.58,33.47,3,8.61,33.17,4,8.58,33.31,6,8.92,34.60
2,8.77,41.74,1,8.70,41.56,5,8.81,42.265,3,8.75,41.92,4,8.76,42.048,6,9.27,43.851
