PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,KIM Gun Woo POSITION,KIM Gun Woo LAP TIME,KIM Gun Woo ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,NEMIRO Nikita POSITION,NEMIRO Nikita LAP TIME,NEMIRO Nikita ELAPSED TIME
4,8.66,8.66,1,8.26,8.26,3,8.55,8.55,2,8.39,8.39,5,8.82,8.82
4,10.40,19.06,1,10.53,18.79,3,10.43,18.98,2,10.48,18.87,5,10.38,19.20
4,10.49,29.55,2,10.50,29.29,3,10.47,29.45,1,10.37,29.24,5,10.48,29.68
4,10.28,39.83,2,10.30,39.59,3,10.29,39.74,1,10.24,39.48,5,10.30,39.98
4,10.10,49.93,1,10.01,49.60,3,10.06,49.80,1,10.12,49.60,5,10.07,50.05
4,9.84,59.77,1,9.90,59.50,3,9.89,59.69,2,9.98,59.58,5,9.87,59.92
4,10.12,1:09.89,1,10.10,1:09.60,3,10.09,1:09.78,2,10.09,1:09.67,5,10.11,1:10.03
4,9.77,1:19.66,2,9.83,1:19.43,3,9.71,1:19.49,1,9.67,1:19.34,5,9.90,1:19.93
4,9.14,1:28.80,3,9.22,1:28.65,1,8.83,1:28.32,2,9.14,1:28.48,5,9.75,1:29.68
4,8.99,1:37.79,3,8.92,1:37.57,1,9.09,1:37.41,2,9.03,1:37.51,5,9.91,1:39.59
4,9.36,1:47.15,3,9.43,1:47.00,1,9.35,1:46.76,2,9.36,1:46.87,5,10.40,1:49.99
4,9.59,1:56.74,3,9.34,1:56.34,1,9.27,1:56.03,2,9.27,1:56.14,5,10.73,2:00.72
4,9.81,2:06.55,3,9.06,2:05.40,1,9.12,2:05.15,2,9.11,2:05.25,5,11.14,2:11.86
4,10.45,2:17.00,3,9.38,2:14.78,1,9.13,2:14.28,2,9.11,2:14.36,5,11.49,2:23.35
