Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME
4,9.91,9.91,2,9.60,9.60,5,10.06,10.06,6,10.25,10.25,1,9.47,9.47,3,9.79,9.79
6,13.29,23.20,3,13.36,22.96,5,13.09,23.15,1,12.45,22.70,2,13.35,22.82,4,13.32,23.11
1,11.28,34.48,5,11.70,34.66,4,11.51,34.66,2,11.83,34.53,3,11.76,34.58,6,11.85,34.96
1,11.22,45.70,4,11.28,45.94,5,11.43,46.09,2,11.30,45.83,3,11.35,45.93,6,11.35,46.31
2,11.16,56.86,4,11.26,57.20,5,11.24,57.33,3,11.24,57.07,1,10.89,56.82,6,11.18,57.49
2,10.90,1:07.76,4,10.83,1:08.03,5,10.82,1:08.15,3,10.87,1:07.94,1,10.84,1:07.66,6,10.81,1:08.30
1,11.06,1:18.82,4,11.20,1:19.23,5,11.17,1:19.32,3,11.18,1:19.12,2,11.17,1:18.83,6,11.17,1:19.47
1,10.80,1:29.62,4,10.65,1:29.88,5,10.71,1:30.03,2,10.56,1:29.68,3,10.88,1:29.71,6,10.74,1:30.21
1,10.06,1:39.68,4,10.18,1:40.06,5,10.13,1:40.16,3,10.26,1:39.94,2,10.06,1:39.77,6,10.16,1:40.37
1,9.98,1:49.66,4,9.91,1:49.97,6,10.24,1:50.40,3,9.92,1:49.86,2,9.94,1:49.71,5,9.98,1:50.35
1,10.10,1:59.76,5,10.06,2:00.03,6,10.42,2:00.82,4,10.09,1:59.95,2,10.12,1:59.83,3,9.59,1:59.94
2,10.12,2:09.88,5,10.10,2:10.13,6,10.83,2:11.65,4,10.07,2:10.02,3,10.06,2:09.89,1,9.40,2:09.34
2,10.42,2:20.30,5,22.42,2:32.55,4,11.40,2:23.05,6,32.19,2:42.21,3,10.81,2:20.70,1,9.65,2:18.99
2,10.83,2:31.126,4,17.44,2:49.990,3,12.08,2:35.121,5,22.26,3:04.469,0,,PEN,1,10.12,2:29.103
