PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,JIA Haidong POSITION,JIA Haidong LAP TIME,JIA Haidong ELAPSED TIME,Maxime LAOUN POSITION,Maxime LAOUN LAP TIME,Maxime LAOUN ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Marc-Olivier LEMAY POSITION,Marc-Olivier LEMAY LAP TIME,Marc-Olivier LEMAY ELAPSED TIME
6,13.11,13.11,2,12.23,12.23,1,12.09,12.09,3,12.48,12.48,4,12.77,12.77,5,12.93,12.93
6,15.26,28.37,2,15.40,27.63,1,15.38,27.47,3,15.33,27.81,5,15.44,28.21,4,15.04,27.97
6,13.86,42.23,2,14.02,41.65,3,14.20,41.67,4,14.07,41.88,1,13.37,41.58,5,14.09,42.06
6,12.59,54.82,2,12.87,54.52,5,12.99,54.66,2,12.64,54.52,1,12.81,54.39,4,12.55,54.61
6,11.56,1:06.38,5,11.64,1:06.16,4,11.47,1:06.13,2,11.45,1:05.97,3,11.70,1:06.09,1,11.27,1:05.88
1,10.42,1:16.80,6,10.99,1:17.15,2,10.73,1:16.86,5,11.06,1:17.03,4,10.92,1:17.01,2,10.98,1:16.86
2,9.85,1:26.65,6,9.93,1:27.08,4,10.03,1:26.89,5,9.97,1:27.00,1,9.49,1:26.50,3,9.91,1:26.77
1,9.80,1:36.45,6,9.94,1:37.02,4,9.89,1:36.78,5,9.89,1:36.89,2,10.10,1:36.60,3,9.88,1:36.65
1,9.70,1:46.15,6,9.69,1:46.71,3,9.63,1:46.41,5,9.72,1:46.61,2,9.71,1:46.31,4,9.86,1:46.51
1,9.63,1:55.78,6,9.58,1:56.29,3,9.58,1:55.99,5,9.60,1:56.21,2,9.58,1:55.89,4,9.59,1:56.10
1,9.15,2:04.93,5,9.14,2:05.43,3,9.21,2:05.20,6,9.28,2:05.49,2,9.17,2:05.06,4,9.19,2:05.29
1,8.98,2:13.91,6,8.95,2:14.38,3,8.95,2:14.15,5,8.84,2:14.33,2,8.99,2:14.05,4,8.94,2:14.23
1,8.75,2:22.66,6,9.16,2:23.54,3,8.80,2:22.95,5,8.81,2:23.14,2,8.75,2:22.80,4,8.82,2:23.05
1,8.76,2:31.391,6,9.42,2:32.941,3,8.84,2:31.779,5,9.01,2:32.138,2,8.73,2:31.511,4,8.81,2:31.844
