Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Azamat NURMAGAMBETOV POSITION,Azamat NURMAGAMBETOV LAP TIME,Azamat NURMAGAMBETOV ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Dragan PERECIC POSITION,Dragan PERECIC LAP TIME,Dragan PERECIC ELAPSED TIME
2,16.845,16.845,1,16.791,16.791,3,17.080,17.080,5,17.532,17.532,4,17.277,17.277
1,13.656,30.502,2,13.730,30.521,3,13.684,30.764,5,13.706,31.238,4,13.735,31.013
1,13.891,44.393,2,13.914,44.435,4,13.930,44.694,5,13.786,45.024,3,13.621,44.634
1,12.756,57.149,2,12.901,57.336,3,12.767,57.461,5,13.037,58.061,4,13.283,57.916
1,11.378,1:08.528,2,11.463,1:08.799,3,11.556,1:09.017,4,11.161,1:09.222,5,12.005,1:09.921
1,10.878,1:19.405,2,10.856,1:19.655,3,10.732,1:19.748,4,10.534,1:19.755,5,11.932,1:21.853
2,9.703,1:29.108,3,9.969,1:29.624,4,9.989,1:29.738,1,9.345,1:29.100,5,11.945,1:33.798
2,9.229,1:38.337,3,9.506,1:39.131,4,9.913,1:39.650,1,9.218,1:38.318,5,12.124,1:45.922
2,9.451,1:47.788,3,9.580,1:48.711,4,11.253,1:50.903,1,9.425,1:47.744,5,12.263,1:58.185
