BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,Karol BOBOWICZ POSITION,Karol BOBOWICZ LAP TIME,Karol BOBOWICZ ELAPSED TIME
1,8.692,8.692,5,9.011,9.011,2,8.856,8.856,4,8.977,8.977,3,8.894,8.894
2,11.651,20.343,3,11.433,20.444,5,11.712,20.567,4,11.566,20.542,1,11.401,20.295
3,11.532,31.875,5,11.733,32.176,4,11.568,32.134,1,11.139,31.681,2,11.471,31.765
4,11.208,43.083,5,11.178,43.354,1,10.502,42.636,3,11.389,43.069,2,11.245,43.010
4,10.231,53.313,5,10.584,53.937,2,10.450,53.085,1,9.878,52.947,3,10.263,53.273
2,10.000,1:03.313,5,14.939,1:08.875,1,10.178,1:03.262,3,10.430,1:03.377,4,10.226,1:03.498
3,10.011,1:13.324,5,10.552,1:19.427,1,9.880,1:13.142,2,9.918,1:13.294,4,9.911,1:13.408
3,9.745,1:23.069,5,11.296,1:30.723,2,9.862,1:23.004,1,9.444,1:22.738,4,9.878,1:23.286
3,9.630,1:32.698,5,13.349,1:44.071,2,9.579,1:32.582,1,9.733,1:32.471,4,9.579,1:32.864
3,9.512,1:42.210,5,12.758,1:56.829,1,9.476,1:42.057,2,9.617,1:42.087,4,9.499,1:42.363
4,9.817,1:52.026,5,12.713,2:09.542,2,9.624,1:51.681,1,9.511,1:51.598,3,9.588,1:51.951
4,10.314,2:02.340,5,13.511,2:23.052,1,9.429,2:01.109,2,9.877,2:01.475,3,9.760,2:01.711
4,10.871,2:13.211,5,12.385,2:35.437,1,9.575,2:10.683,2,9.858,2:11.332,3,10.117,2:11.827
4,11.51,2:24.718,5,13.33,2:48.760,1,10.43,2:21.110,2,10.73,2:22.057,3,10.89,2:22.713
