Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME
1,12.76,12.76,3,13.22,13.22,2,12.92,12.92,4,13.33,13.33
1,9.65,22.41,3,9.60,22.82,2,9.65,22.57,4,9.64,22.97
1,9.76,32.17,3,9.62,32.44,2,9.70,32.27,4,9.59,32.56
1,9.85,42.02,3,9.82,42.26,2,9.89,42.16,4,9.83,42.39
1,9.91,51.93,3,9.92,52.18,2,9.91,52.07,4,9.91,52.30
1,9.90,1:01.83,3,9.86,1:02.04,2,9.86,1:01.93,4,9.85,1:02.15
2,10.13,1:11.96,3,9.99,1:12.03,1,9.88,1:11.81,4,10.09,1:12.24
3,10.02,1:21.98,2,9.71,1:21.74,1,9.75,1:21.56,4,10.17,1:22.41
3,10.17,1:32.145,2,9.69,1:31.422,1,9.64,1:31.199,4,10.33,1:32.733
