ECKSTEIN Lisa POSITION,ECKSTEIN Lisa LAP TIME,ECKSTEIN Lisa ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,ROBERTS Isabelle POSITION,ROBERTS Isabelle LAP TIME,ROBERTS Isabelle ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME
2,8.43,8.43,1,8.28,8.28,4,8.79,8.79,5,8.97,8.97,5,8.97,8.97,3,8.64,8.64
4,11.69,20.12,2,11.76,20.04,5,11.44,20.23,6,11.39,20.36,1,10.93,19.90,3,11.46,20.10
5,11.00,31.12,2,10.76,30.80,4,10.78,31.01,6,10.88,31.24,1,10.77,30.67,3,10.83,30.93
5,10.75,41.87,2,10.74,41.54,4,10.78,41.79,6,10.78,42.02,1,10.76,41.43,3,10.74,41.67
5,10.81,52.68,2,10.82,52.36,4,10.80,52.59,6,10.79,52.81,1,10.83,52.26,3,10.81,52.48
5,10.74,1:03.42,1,10.58,1:02.94,4,10.73,1:03.32,6,10.73,1:03.54,2,10.79,1:03.05,3,10.71,1:03.19
5,10.36,1:13.78,1,10.44,1:13.38,4,10.40,1:13.72,6,10.37,1:13.91,2,10.45,1:13.50,3,10.44,1:13.63
5,10.65,1:24.43,1,10.62,1:24.00,4,10.64,1:24.36,6,10.63,1:24.54,2,10.62,1:24.12,3,10.63,1:24.26
5,10.52,1:34.95,2,10.52,1:34.52,4,10.46,1:34.82,6,10.53,1:35.07,1,10.38,1:34.50,3,10.45,1:34.71
5,9.94,1:44.89,2,10.05,1:44.57,4,9.95,1:44.77,6,10.35,1:45.42,1,9.99,1:44.49,3,9.87,1:44.58
5,9.80,1:54.69,3,9.73,1:54.30,4,9.70,1:54.47,6,10.61,1:56.03,2,9.72,1:54.21,1,9.47,1:54.05
5,10.13,2:04.82,3,9.64,2:03.94,4,9.62,2:04.09,6,11.07,2:07.10,2,9.65,2:03.86,1,9.71,2:03.76
5,10.71,2:15.53,3,9.68,2:13.62,4,9.61,2:13.70,6,11.46,2:18.56,2,9.68,2:13.54,1,9.68,2:13.44
5,11.23,2:26.76,3,9.78,2:23.40,4,9.94,2:23.64,6,11.80,2:30.36,2,9.79,2:23.33,1,9.75,2:23.19
