PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME
1,7.44,7.44,2,7.60,7.60,3,7.74,7.74,4,8.09,8.09
2,9.60,17.04,1,9.35,16.95,3,9.59,17.33,4,9.91,18.00
2,9.03,26.07,1,8.98,25.93,3,9.16,26.49,4,9.72,27.72
2,9.03,35.10,1,8.93,34.86,4,47.16,1:13.65,3,9.94,37.66
2,9.16,44.258,1,9.11,43.965,0,,notime,3,10.33,47.986
