LI Haonan POSITION,LI Haonan LAP TIME,LI Haonan ELAPSED TIME,Robbert-Kees BOER POSITION,Robbert-Kees BOER LAP TIME,Robbert-Kees BOER ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
1,6.934,6.934,2,7.088,7.088,4,7.271,7.271,3,7.236,7.236
1,9.304,16.238,2,9.419,16.507,3,9.327,16.597,4,9.405,16.641
1,9.162,25.399,4,9.342,25.848,3,8.947,25.544,2,8.777,25.418
2,9.119,34.518,3,9.508,35.356,1,8.876,34.420,4,20.733,46.150
2,9.42,43.932,3,9.41,44.763,1,9.38,43.796,4,12.84,58.986
