CHENG Eric I POSITION,CHENG Eric I LAP TIME,CHENG Eric I ELAPSED TIME,KWON Ki-Deok POSITION,KWON Ki-Deok LAP TIME,KWON Ki-Deok ELAPSED TIME,SHIJIRBAATAR Shagdar POSITION,SHIJIRBAATAR Shagdar LAP TIME,SHIJIRBAATAR Shagdar ELAPSED TIME,DEL MEDICO Vincent POSITION,DEL MEDICO Vincent LAP TIME,DEL MEDICO Vincent ELAPSED TIME
1,16.573,16.573,3,17.016,17.016,2,16.637,16.637,4,17.329,17.329
4,13.936,30.509,2,12.923,29.938,3,13.530,30.166,1,12.586,29.915
3,11.500,42.008,1,11.700,41.638,4,11.872,42.038,2,11.872,41.786
4,12.122,54.130,2,12.125,53.763,3,11.844,53.882,1,11.350,53.136
3,11.065,1:05.194,1,10.721,1:04.483,4,11.320,1:05.201,2,12.037,1:05.173
2,10.581,1:15.775,1,10.631,1:15.113,4,11.238,1:16.439,3,11.137,1:16.309
2,10.552,1:26.327,1,10.471,1:25.584,3,11.722,1:28.160,4,15.266,1:31.574
3,10.326,1:36.653,1,10.203,1:35.786,4,11.285,1:39.445,2,4.906,1:36.479
3,10.44,1:47.093,1,10.33,1:46.108,4,12.02,1:51.461,2,9.64,1:46.110
