Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME,Daniel ZASTRUGOV POSITION,Daniel ZASTRUGOV LAP TIME,Daniel ZASTRUGOV ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
2,10.82,10.82,1,10.60,10.60,3,11.02,11.02,4,11.17,11.17,5,11.30,11.30
1,13.75,24.57,2,14.06,24.66,3,13.80,24.82,4,13.78,24.95,5,13.83,25.13
1,12.61,37.18,2,12.64,37.30,3,12.65,37.47,4,12.60,37.55,5,12.56,37.69
1,12.02,49.20,2,12.03,49.33,3,12.00,49.47,4,12.04,49.59,5,11.90,49.59
2,10.85,1:00.05,4,10.85,1:00.18,3,10.62,1:00.09,5,10.67,1:00.26,1,10.36,59.95
2,10.09,1:10.14,5,10.30,1:10.48,3,10.13,1:10.22,4,10.06,1:10.32,1,10.09,1:10.04
3,9.98,1:20.12,5,9.91,1:20.39,2,9.79,1:20.01,4,9.93,1:20.25,1,9.87,1:19.91
2,9.47,1:29.59,5,9.54,1:29.93,3,9.65,1:29.66,4,9.52,1:29.77,1,9.60,1:29.51
2,9.46,1:39.05,5,9.55,1:39.48,3,9.51,1:39.17,4,9.52,1:39.29,1,9.51,1:39.02
5,9.95,1:49.00,4,9.52,1:49.00,2,9.39,1:48.56,3,9.37,1:48.66,1,9.40,1:48.42
4,9.43,1:58.43,5,9.92,1:58.92,2,9.46,1:58.02,3,9.45,1:58.11,1,9.49,1:57.91
4,9.31,2:07.74,5,10.30,2:09.22,2,9.48,2:07.50,3,9.46,2:07.57,1,9.37,2:07.28
4,9.35,2:17.09,5,10.85,2:20.07,3,9.40,2:16.90,2,9.26,2:16.83,1,9.48,2:16.76
3,9.53,2:26.618,4,11.34,2:31.408,0,,PEN,2,9.53,2:26.353,1,9.50,2:26.255
