Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
2,7.21,7.21,1,6.87,6.87,3,7.38,7.38
2,9.32,16.53,1,9.00,15.87,3,9.24,16.62
3,8.94,25.47,1,8.45,24.32,2,8.83,25.45
3,9.20,34.67,1,8.53,32.85,2,8.76,34.21
3,9.49,44.153,1,8.70,41.547,2,9.10,43.304
