DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
3,10.48,10.48,1,10.18,10.18,4,10.65,10.65,2,10.31,10.31,5,10.78,10.78,6,10.94,10.94
4,15.57,26.05,1,15.53,25.71,5,15.65,26.30,3,15.60,25.91,2,14.98,25.76,6,15.45,26.39
5,14.09,40.14,1,13.99,39.70,6,14.07,40.37,2,13.93,39.84,4,14.25,40.01,3,13.60,39.99
4,11.88,52.02,1,12.23,51.93,6,12.13,52.50,2,12.15,51.99,5,12.23,52.24,3,12.03,52.02
3,10.83,1:02.85,2,10.81,1:02.74,6,10.66,1:03.16,1,10.64,1:02.63,5,10.83,1:03.07,4,10.94,1:02.96
1,10.09,1:12.94,3,10.43,1:13.17,6,10.36,1:13.52,2,10.43,1:13.06,5,10.35,1:13.42,4,10.32,1:13.28
1,10.04,1:22.98,3,9.91,1:23.08,2,9.54,1:23.06,4,10.09,1:23.15,6,9.93,1:23.35,5,9.95,1:23.23
2,9.86,1:32.84,4,9.90,1:32.98,1,9.73,1:32.79,3,9.78,1:32.93,6,9.80,1:33.15,5,9.83,1:33.06
2,9.72,1:42.56,4,9.87,1:42.85,1,9.67,1:42.46,3,9.75,1:42.68,6,9.91,1:43.06,5,9.87,1:42.93
3,9.57,1:52.13,4,9.44,1:52.29,2,9.57,1:52.03,1,9.32,1:52.00,6,9.45,1:52.51,5,9.48,1:52.41
3,8.92,2:01.05,4,8.86,2:01.15,2,8.89,2:00.92,1,8.68,2:00.68,6,8.81,2:01.32,5,8.83,2:01.24
3,8.77,2:09.82,4,8.67,2:09.82,2,8.60,2:09.52,1,8.64,2:09.32,6,8.63,2:09.95,5,8.69,2:09.93
5,8.93,2:18.75,3,8.48,2:18.30,2,8.74,2:18.26,1,8.88,2:18.20,6,8.81,2:18.76,4,8.61,2:18.54
4,21.97,2:40.715,0,,PEN,5,29.60,2:47.858,1,9.25,2:27.447,2,9.04,2:27.791,3,13.86,2:32.394
