Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME
2,13.78,13.78,1,13.77,13.77,3,13.91,13.91,4,14.08,14.08
2,10.66,24.44,1,10.63,24.41,3,10.62,24.53,4,10.56,24.65
2,10.65,35.10,1,10.61,35.02,3,10.75,35.29,4,10.64,35.29
2,10.15,45.25,1,10.19,45.21,3,9.99,45.28,4,10.13,45.43
2,10.11,55.37,1,10.01,55.23,3,10.10,55.39,4,10.08,55.51
2,10.10,1:05.47,1,10.10,1:05.34,3,10.08,1:05.47,4,10.12,1:05.64
3,10.09,1:15.57,1,9.94,1:15.28,2,10.06,1:15.53,4,10.04,1:15.68
2,9.89,1:25.46,1,10.00,1:25.29,3,9.93,1:25.46,4,9.91,1:25.59
2,10.30,1:35.759,1,10.31,1:35.593,4,10.55,1:36.006,3,10.40,1:35.984
