Federica TOMBOLATO POSITION,Federica TOMBOLATO LAP TIME,Federica TOMBOLATO ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME
4,14.20,14.20,2,13.95,13.95,3,14.09,14.09,1,13.86,13.86
4,10.98,25.18,2,11.00,24.95,3,10.97,25.06,1,10.96,24.82
4,10.78,35.96,1,10.73,35.68,3,10.76,35.82,2,10.86,35.68
3,9.93,45.89,1,10.02,45.70,4,10.10,45.92,2,10.11,45.79
4,10.37,56.26,1,10.28,55.98,3,10.32,56.24,2,10.31,56.10
4,10.26,1:06.52,1,10.24,1:06.22,3,10.20,1:06.44,2,10.26,1:06.36
4,10.42,1:16.94,2,10.46,1:16.68,3,10.37,1:16.81,1,10.30,1:16.66
4,10.33,1:27.27,3,10.53,1:27.21,2,10.10,1:26.91,1,10.10,1:26.76
3,10.40,1:37.669,0,,PEN,2,9.91,1:36.815,1,9.94,1:36.698
