Jakub JANECKO POSITION,Jakub JANECKO LAP TIME,Jakub JANECKO ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Denis BELLOTTI POSITION,Denis BELLOTTI LAP TIME,Denis BELLOTTI ELAPSED TIME,Matus MICHALIK POSITION,Matus MICHALIK LAP TIME,Matus MICHALIK ELAPSED TIME
3,14.192,14.192,4,14.469,14.469,2,14.170,14.170,1,14.156,14.156
1,11.072,25.263,4,11.163,25.632,3,11.290,25.459,2,11.300,25.455
1,10.905,36.168,4,10.985,36.616,2,10.885,36.344,3,10.938,36.392
1,10.871,47.039,4,10.785,47.401,2,10.850,47.193,3,10.914,47.306
4,13.249,1:00.288,2,10.684,58.085,1,10.643,57.836,3,12.287,59.592
3,7.951,1:08.238,4,10.320,1:08.405,1,9.948,1:07.784,2,8.467,1:08.059
3,10.487,1:18.725,4,10.449,1:18.853,1,9.840,1:17.623,2,10.095,1:18.154
4,10.796,1:29.520,3,10.538,1:29.391,1,10.289,1:27.912,2,10.400,1:28.554
4,10.75,1:40.267,3,10.83,1:40.217,1,10.99,1:38.893,2,10.90,1:39.446
