FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME,Denise ALTMANN POSITION,Denise ALTMANN LAP TIME,Denise ALTMANN ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME
3,14.414,14.414,5,14.486,14.486,4,14.441,14.441,1,14.240,14.240,2,14.389,14.389
3,11.450,25.863,5,11.544,26.030,4,11.484,25.925,1,11.511,25.751,2,11.460,25.849
3,11.438,37.301,1,11.071,37.101,4,11.404,37.329,2,11.407,37.158,5,11.705,37.554
3,10.126,47.426,1,10.196,47.296,4,10.376,47.705,2,10.211,47.368,5,10.476,48.029
1,10.077,57.503,3,10.293,57.589,5,11.107,58.811,2,10.173,57.540,4,9.656,57.684
1,9.826,1:07.328,3,10.200,1:07.789,5,10.746,1:09.557,2,10.132,1:07.672,4,10.359,1:08.043
1,10.234,1:17.561,4,10.362,1:18.150,5,10.977,1:20.534,2,10.087,1:17.759,3,9.771,1:17.814
1,10.314,1:27.875,4,10.798,1:28.947,5,11.771,1:32.304,2,10.254,1:28.013,3,10.431,1:28.244
1,10.58,1:38.454,4,11.46,1:40.406,5,11.57,1:43.870,2,10.56,1:38.572,3,10.43,1:38.667
