Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Shinichi TAGAMI POSITION,Shinichi TAGAMI LAP TIME,Shinichi TAGAMI ELAPSED TIME,ZHANG Zhiqiang POSITION,ZHANG Zhiqiang LAP TIME,ZHANG Zhiqiang ELAPSED TIME,Viktor DIMITROV POSITION,Viktor DIMITROV LAP TIME,Viktor DIMITROV ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME
1,9.600,9.600,3,9.640,9.640,2,9.610,9.610,4,9.640,9.640,6,10.070,10.070,5,9.650,9.650
2,12.720,22.320,1,12.670,22.310,4,12.870,22.480,3,12.810,22.460,6,12.830,22.910,5,12.940,22.600
3,11.970,34.300,1,11.690,34.010,2,11.720,34.210,4,11.960,34.420,6,11.770,34.690,5,11.930,34.530
2,10.870,45.180,1,10.940,44.950,3,11.020,45.230,4,11.000,45.420,6,10.950,45.640,5,10.920,45.450
3,10.730,55.920,1,10.800,55.760,2,10.600,55.840,4,10.510,55.940,6,10.800,56.450,5,10.750,56.200
2,10.130,1:06.050,1,10.280,1:06.040,3,10.450,1:06.290,4,10.430,1:06.380,6,10.060,1:06.510,5,10.180,1:06.390
2,10.250,1:16.300,1,10.040,1:16.080,4,10.210,1:16.500,3,10.000,1:16.380,6,10.170,1:16.690,5,10.180,1:16.570
3,9.840,1:26.140,2,9.920,1:26.010,4,9.700,1:26.200,5,9.860,1:26.240,6,9.880,1:26.570,1,9.380,1:25.950
5,9.760,1:35.910,2,9.580,1:35.600,3,9.450,1:35.650,4,9.420,1:35.660,6,9.810,1:36.390,1,9.550,1:35.500
5,9.850,1:45.760,3,9.690,1:45.300,4,9.780,1:45.430,1,9.020,1:44.690,6,9.990,1:46.380,2,9.460,1:44.970
5,9.960,1:55.730,3,9.480,1:54.780,4,9.380,1:54.820,1,9.530,1:54.230,6,10.470,1:56.860,2,9.320,1:54.290
5,10.260,2:05.990,3,9.590,2:04.380,4,9.600,2:04.420,1,9.510,2:03.750,6,10.940,2:07.800,2,9.570,2:03.870
5,10.850,2:16.840,3,9.780,2:14.160,4,9.760,2:14.180,1,9.470,2:13.220,6,11.460,2:19.270,2,9.640,2:13.510
5,11.460,2:28.300,4,10.690,2:24.860,3,10.250,2:24.440,1,9.750,2:22.980,6,11.880,2:31.160,2,9.860,2:23.380
