Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
3,13.32,13.32,4,13.43,13.43,2,13.20,13.20,1,13.01,13.01,5,13.53,13.53
1,9.73,23.05,4,9.89,23.32,2,9.93,23.13,3,10.23,23.24,5,9.87,23.40
2,10.03,33.08,4,9.97,33.29,1,9.93,33.06,3,10.01,33.25,5,10.04,33.44
1,9.57,42.65,2,9.37,42.66,2,9.60,42.66,4,9.59,42.84,5,9.50,42.94
1,9.40,52.05,2,9.49,52.15,3,9.58,52.24,4,9.49,52.33,5,9.48,52.42
1,9.60,1:01.65,2,9.63,1:01.78,3,9.62,1:01.86,4,9.64,1:01.97,5,9.67,1:02.09
1,9.59,1:11.24,2,9.56,1:11.34,3,9.56,1:11.42,4,9.51,1:11.48,5,9.55,1:11.64
1,9.65,1:20.89,2,9.65,1:20.99,3,9.62,1:21.04,4,9.62,1:21.10,5,9.53,1:21.17
0,9.72,1:30.61,3,9.65,1:30.649,0,9.58,1:30.62,4,9.68,1:30.789,5,9.81,1:30.988
