Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
2,13.904,13.904,4,14.202,14.202,3,14.027,14.027,1,13.797,13.797
2,10.556,24.459,4,10.649,24.852,3,10.706,24.732,1,10.637,24.435
2,10.453,34.913,4,10.404,35.256,3,10.340,35.072,1,10.377,34.811
2,10.074,44.986,4,10.060,45.315,3,10.062,45.134,1,10.004,44.816
1,9.766,54.752,4,9.867,55.182,3,9.787,54.921,2,9.979,54.794
2,9.576,1:04.328,4,9.418,1:04.600,3,9.481,1:04.402,1,9.452,1:04.246
2,9.282,1:13.610,4,9.307,1:13.908,3,9.302,1:13.704,1,9.234,1:13.480
2,9.394,1:23.005,4,9.349,1:23.257,3,9.356,1:23.059,1,9.383,1:22.863
3,9.476,1:32.481,4,9.463,1:32.720,1,9.181,1:32.240,2,9.564,1:32.426
