van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,LIN Yue POSITION,LIN Yue LAP TIME,LIN Yue ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME
1,7.13,7.13,2,7.28,7.28,3,7.40,7.40,4,7.61,7.61,5,7.73,7.73
1,9.27,16.40,2,9.22,16.50,3,9.21,16.61,4,9.13,16.74,5,9.16,16.89
2,8.97,25.37,3,8.93,25.43,1,8.72,25.33,5,8.78,25.52,4,8.61,25.50
2,9.03,34.40,3,9.09,34.52,1,8.92,34.25,5,9.20,34.72,4,9.10,34.60
5,9.64,44.019,3,9.30,43.798,1,9.10,43.337,4,9.28,43.987,2,9.03,43.605
