Matteo COMPAGNONI POSITION,Matteo COMPAGNONI LAP TIME,Matteo COMPAGNONI ELAPSED TIME,Guillaume BLAIS DUFOUR POSITION,Guillaume BLAIS DUFOUR LAP TIME,Guillaume BLAIS DUFOUR ELAPSED TIME,Petar PETROV POSITION,Petar PETROV LAP TIME,Petar PETROV ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME
2,15.40,15.40,3,15.51,15.51,4,15.56,15.56,1,15.16,15.16
3,13.13,28.53,2,12.94,28.45,4,13.10,28.67,1,13.20,28.36
2,12.22,40.75,1,12.28,40.74,3,12.12,40.79,4,12.44,40.81
2,10.93,51.68,4,11.11,51.85,1,10.83,51.63,3,11.03,51.84
1,9.73,1:01.42,4,10.05,1:01.90,3,9.95,1:01.58,2,9.64,1:01.49
1,9.38,1:10.80,3,9.09,1:10.99,4,9.57,1:11.15,2,9.40,1:10.89
1,9.40,1:20.21,2,9.27,1:20.27,4,9.53,1:20.68,3,9.42,1:20.32
1,9.36,1:29.57,2,9.39,1:29.66,4,9.59,1:30.28,3,9.42,1:29.75
2,9.69,1:39.258,1,9.37,1:39.028,4,10.71,1:40.983,3,9.66,1:39.407
