BINEY Maame POSITION,BINEY Maame LAP TIME,BINEY Maame ELAPSED TIME,BLAIS Danae POSITION,BLAIS Danae LAP TIME,BLAIS Danae ELAPSED TIME,ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,Sofya BOYTSOVA POSITION,Sofya BOYTSOVA LAP TIME,Sofya BOYTSOVA ELAPSED TIME
1,7.31,7.31,3,7.77,7.77,2,7.45,7.45,4,7.88,7.88
1,9.46,16.77,4,9.76,17.53,2,9.40,16.85,3,9.57,17.45
2,9.04,25.81,4,9.52,27.05,1,8.89,25.74,3,9.10,26.55
2,9.20,35.01,4,9.54,36.59,1,9.07,34.81,3,9.37,35.92
2,9.52,44.53,4,9.81,46.40,1,9.29,44.10,3,9.68,45.60
