SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,KUCZYNSKI Lukasz POSITION,KUCZYNSKI Lukasz LAP TIME,KUCZYNSKI Lukasz ELAPSED TIME,Skyler KAH POSITION,Skyler KAH LAP TIME,Skyler KAH ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME
3,7.22,7.22,1,7.01,7.01,2,7.16,7.16,4,7.37,7.37
2,8.88,16.10,1,9.08,16.09,3,9.12,16.28,4,8.94,16.31
1,8.48,24.58,2,8.64,24.73,4,22.32,38.60,3,8.50,24.81
1,8.54,33.12,2,8.63,33.36,4,10.91,49.51,3,8.59,33.40
1,8.82,41.94,3,9.38,42.749,4,10.69,1:00.208,2,8.95,42.354
