Sean McANUFF POSITION,Sean McANUFF LAP TIME,Sean McANUFF ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Emil IMRE POSITION,Emil IMRE LAP TIME,Emil IMRE ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME
2,14.90,14.90,1,14.77,14.77,3,15.02,15.02,4,15.30,15.30
3,11.52,26.42,1,11.57,26.34,2,11.39,26.41,4,11.35,26.65
3,11.24,37.66,1,11.05,37.39,2,11.11,37.52,4,11.18,37.83
3,10.67,48.33,1,10.70,48.09,2,10.67,48.19,4,10.64,48.47
3,10.24,58.57,1,10.28,58.37,2,10.28,58.47,4,10.31,58.78
4,10.05,1:08.62,1,10.03,1:08.40,2,10.06,1:08.53,3,9.81,1:08.59
4,9.64,1:18.26,2,9.46,1:17.86,3,9.61,1:18.14,1,9.10,1:17.69
4,9.42,1:27.68,2,9.09,1:26.95,3,9.49,1:27.63,1,9.10,1:26.79
3,9.76,1:37.437,2,9.31,1:36.26,4,10.42,1:38.034,1,9.25,1:36.04
