Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME
1,12.58,12.58,4,12.68,12.68,2,12.60,12.60,3,12.61,12.61
2,10.14,22.72,4,10.29,22.97,1,10.08,22.68,3,10.23,22.84
2,10.13,32.85,4,10.09,33.06,3,10.27,32.95,1,9.85,32.69
2,9.79,42.64,4,9.82,42.88,3,9.79,42.74,1,9.85,42.54
2,9.48,52.12,4,9.54,52.42,3,9.50,52.24,1,9.56,52.10
2,9.31,1:01.43,4,9.21,1:01.63,1,9.12,1:01.36,3,9.42,1:01.52
1,8.92,1:10.35,4,9.07,1:10.70,2,9.11,1:10.47,3,9.10,1:10.62
1,9.06,1:19.41,3,8.94,1:19.64,2,9.04,1:19.51,4,9.13,1:19.75
2,9.23,1:28.635,0,,PEN,1,9.06,1:28.566,3,9.40,1:29.150
