Roman IZBICKI POSITION,Roman IZBICKI LAP TIME,Roman IZBICKI ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Alexander MERRIMAN POSITION,Alexander MERRIMAN LAP TIME,Alexander MERRIMAN ELAPSED TIME,Anton SIMON POSITION,Anton SIMON LAP TIME,Anton SIMON ELAPSED TIME
0,9.106,9.106,0,9.009,9.009,0,8.750,8.750,0,9.111,9.111,0,9.179,9.179
0,11.465,20.572,0,11.456,20.464,0,11.598,20.348,0,11.473,20.584,0,11.518,20.697
0,11.478,32.050,0,11.474,31.939,0,11.403,31.752,0,11.391,31.975,0,11.495,32.192
0,11.571,43.621,0,11.492,43.430,0,11.518,43.270,0,11.699,43.675,0,11.599,43.791
0,11.430,55.051,0,11.332,54.763,0,11.483,54.753,0,11.132,54.807,0,11.197,54.987
0,10.499,1:05.550,0,10.501,1:05.263,0,10.496,1:05.248,0,10.314,1:05.121,0,10.582,1:05.569
0,10.145,1:15.695,0,10.011,1:15.274,0,10.084,1:15.332,0,10.042,1:15.162,0,9.897,1:15.466
0,9.702,1:25.397,0,9.774,1:25.048,0,9.759,1:25.091,0,9.863,1:25.025,0,9.736,1:25.202
0,9.774,1:35.170,0,9.583,1:34.630,0,9.604,1:34.695,0,9.665,1:34.690,0,9.732,1:34.934
0,9.678,1:44.849,0,9.721,1:44.351,0,9.727,1:44.423,0,9.620,1:44.310,0,9.644,1:44.578
0,9.863,1:54.712,0,9.395,1:53.746,0,9.394,1:53.816,0,9.078,1:53.387,0,9.802,1:54.380
0,10.128,2:04.839,0,9.443,2:03.189,0,9.431,2:03.248,0,9.607,2:02.994,0,9.993,2:04.372
0,10.651,2:15.490,0,9.656,2:12.845,0,9.670,2:12.918,0,9.613,2:12.607,0,10.542,2:14.914
0,11.123,2:26.613,0,9.816,2:22.661,0,9.951,2:22.869,0,9.998,2:22.605,0,10.901,2:25.815
