TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Muhammet KARADENIZ POSITION,Muhammet KARADENIZ LAP TIME,Muhammet KARADENIZ ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME
3,13.28,13.28,2,13.15,13.15,1,12.94,12.94,4,13.41,13.41,5,13.53,13.53
3,10.45,23.73,2,10.48,23.63,1,10.57,23.51,4,10.36,23.77,5,10.36,23.89
2,9.89,33.62,3,10.08,33.71,1,10.05,33.56,5,10.07,33.84,4,9.94,33.83
2,9.92,43.54,3,10.03,43.74,1,9.96,43.52,4,10.04,43.88,5,10.22,44.05
1,9.56,53.10,2,9.44,53.18,3,9.71,53.23,4,9.49,53.37,5,9.90,53.95
1,9.41,1:02.51,2,9.48,1:02.66,3,9.58,1:02.81,4,9.61,1:02.98,5,10.09,1:04.04
1,9.11,1:11.62,2,9.07,1:11.73,3,9.18,1:11.99,4,9.57,1:12.55,5,10.61,1:14.65
1,9.14,1:20.76,2,9.17,1:20.90,3,9.20,1:21.19,4,10.09,1:22.64,5,11.18,1:25.83
1,9.24,1:30.00,2,9.28,1:30.18,3,9.56,1:30.740,4,11.12,1:33.745,5,11.97,1:37.793
