J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME
1,6.90,6.90,3,7.13,7.13,2,7.00,7.00,5,7.25,,4,7.24,7.24
1,9.00,15.90,4,9.04,16.17,2,8.96,15.96,3,8.85,,5,9.05,16.29
1,8.41,24.31,4,8.44,24.61,2,8.44,24.40,3,8.40,,5,8.47,24.76
2,8.48,32.79,3,8.24,32.85,1,8.36,32.76,4,8.38,,5,8.29,33.05
4,10.24,43.039,1,8.72,41.579,2,8.83,41.598,5,30.59,,3,8.77,41.828
