VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Szandra LAJTOS POSITION,Szandra LAJTOS LAP TIME,Szandra LAJTOS ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME
3,13.73,13.73,1,13.62,13.62,2,13.72,13.72,4,13.88,13.88
2,10.31,24.04,1,10.34,23.96,4,10.52,24.24,3,10.26,24.14
2,10.63,34.67,1,10.59,34.55,4,10.62,34.86,3,10.60,34.74
2,10.70,45.37,1,10.73,45.28,4,10.77,45.63,3,10.76,45.50
2,10.39,55.76,1,10.38,55.66,4,10.33,55.96,3,10.35,55.85
2,10.25,1:06.01,1,10.25,1:05.91,4,10.25,1:06.21,3,10.25,1:06.10
2,10.30,1:16.31,1,10.28,1:16.19,4,10.31,1:16.52,3,10.29,1:16.39
1,9.76,1:26.07,2,10.08,1:26.27,4,10.06,1:26.58,3,9.99,1:26.38
1,9.92,1:35.988,2,10.07,1:36.336,4,9.90,1:36.478,3,10.02,1:36.398
