Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Alexander FATHOULLIN POSITION,Alexander FATHOULLIN LAP TIME,Alexander FATHOULLIN ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,KAUFMANN-LUDWIG Leon POSITION,KAUFMANN-LUDWIG Leon LAP TIME,KAUFMANN-LUDWIG Leon ELAPSED TIME,Yoann MARTINEZ POSITION,Yoann MARTINEZ LAP TIME,Yoann MARTINEZ ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME
1,7.01,7.01,2,7.13,7.13,4,7.43,7.43,3,7.31,7.31,5,7.71,7.71,6,7.88,7.88
1,9.30,16.31,2,9.32,16.45,4,9.28,16.71,3,9.36,16.67,5,9.55,17.26,6,9.65,17.53
2,8.98,25.29,1,8.76,25.21,3,9.12,25.83,4,9.50,26.17,5,9.16,26.42,6,9.43,26.96
2,9.21,34.50,1,9.18,34.39,3,9.31,35.14,4,9.34,35.51,5,9.35,35.77,6,9.86,36.82
1,9.31,43.808,2,9.43,43.811,3,9.59,44.726,4,9.45,44.953,5,9.52,45.281,6,10.44,47.257
