SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,KAYE Talya POSITION,KAYE Talya LAP TIME,KAYE Talya ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME
3,9.75,9.75,1,9.69,9.69,6,9.92,9.92,4,9.85,9.85,2,9.70,9.70,7,10.07,10.07,4,9.85,9.85
2,12.86,22.61,1,12.82,22.51,5,12.81,22.73,6,13.01,22.86,3,12.93,22.63,7,12.89,22.96,4,12.86,22.71
4,11.93,34.54,3,11.90,34.41,5,11.85,34.58,1,11.40,34.26,2,11.69,34.32,7,11.85,34.81,6,11.95,34.66
4,11.01,45.55,3,11.06,45.47,6,11.09,45.67,1,11.08,45.34,2,11.10,45.42,7,10.91,45.72,5,10.92,45.58
1,10.70,56.25,4,11.09,56.56,7,11.15,56.82,2,10.99,56.33,3,11.03,56.45,6,11.09,56.81,5,11.06,56.64
1,11.14,1:07.39,4,11.14,1:07.70,7,11.25,1:08.07,2,11.15,1:07.48,3,11.19,1:07.64,6,11.17,1:07.98,5,11.19,1:07.83
1,11.23,1:18.62,4,11.23,1:18.93,7,11.20,1:19.27,2,11.24,1:18.72,3,11.21,1:18.85,6,11.18,1:19.16,5,11.23,1:19.06
1,11.46,1:30.08,4,11.51,1:30.44,7,11.44,1:30.71,2,11.46,1:30.18,3,11.48,1:30.33,5,11.38,1:30.54,6,11.49,1:30.55
1,10.97,1:41.05,1,10.61,1:41.05,7,10.97,1:41.68,3,10.96,1:41.14,4,10.89,1:41.22,6,10.96,1:41.50,5,10.79,1:41.34
2,9.99,1:51.04,1,9.88,1:50.93,7,10.44,1:52.12,3,9.98,1:51.12,4,9.96,1:51.18,6,10.09,1:51.59,5,9.95,1:51.29
3,9.66,2:00.70,2,9.76,2:00.69,7,11.01,2:03.13,5,9.90,2:01.02,1,9.23,2:00.41,6,10.11,2:01.70,4,9.65,2:00.94
3,9.26,2:09.96,2,9.17,2:09.86,7,11.61,2:14.74,4,9.28,2:10.30,1,8.94,2:09.35,6,10.34,2:12.04,5,9.79,2:10.73
3,9.31,2:19.27,2,9.29,2:19.15,7,11.92,2:26.66,4,9.05,2:19.35,1,9.14,2:18.49,6,11.06,2:23.10,5,10.20,2:20.93
3,9.45,2:28.720,2,9.49,2:28.64,7,12.35,2:39.017,4,9.45,2:28.807,1,9.80,2:28.29,6,11.71,2:34.810,5,10.76,2:31.693
