Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,Katherine RALSTON POSITION,Katherine RALSTON LAP TIME,Katherine RALSTON ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
3,14.89,14.89,4,14.92,14.92,2,14.81,14.81,1,14.72,14.72
2,10.25,25.14,1,10.14,25.06,3,10.48,25.29,4,10.77,25.49
3,10.37,35.51,2,10.37,35.43,1,10.01,35.30,4,10.19,35.68
3,10.33,45.84,4,10.52,45.95,1,10.37,45.67,2,10.11,45.79
2,9.79,55.63,4,9.91,55.86,1,9.92,55.59,3,9.94,55.73
1,9.33,1:04.96,4,9.65,1:05.51,2,9.53,1:05.12,3,9.58,1:05.31
2,9.81,1:14.77,4,9.91,1:15.42,1,9.57,1:14.69,3,9.56,1:14.87
2,9.93,1:24.70,4,10.47,1:25.89,1,9.92,1:24.61,3,9.94,1:24.81
2,10.11,1:34.801,4,11.08,1:36.968,1,10.17,1:34.772,3,10.04,1:34.850
