Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME
1,13.03,13.03,3,13.27,13.27,2,13.13,13.13,4,13.39,13.39
1,10.95,23.98,3,10.91,24.18,2,10.94,24.07,4,10.94,24.33
1,9.17,33.15,3,9.19,33.37,2,9.17,33.24,4,9.15,33.48
1,9.86,43.01,3,9.83,43.20,2,9.85,43.09,4,9.91,43.39
1,9.25,52.26,3,9.23,52.43,2,9.21,52.30,4,9.19,52.58
1,9.05,1:01.31,3,9.06,1:01.49,2,9.10,1:01.40,4,9.08,1:01.66
1,9.06,1:10.37,3,9.05,1:10.54,2,9.04,1:10.44,4,9.03,1:10.69
1,9.15,1:19.52,3,9.07,1:19.61,2,9.14,1:19.58,4,9.28,1:19.97
1,9.41,1:28.927,3,9.62,1:29.226,2,9.36,1:28.934,4,9.77,1:29.733
