Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME
1,12.88,12.88,3,13.12,13.12,2,13.03,13.03,4,13.31,13.31
1,10.32,23.20,3,10.24,23.36,2,10.20,23.23,4,10.21,23.52
2,9.72,32.92,3,9.65,33.01,1,9.60,32.83,4,9.66,33.18
2,9.65,42.57,3,9.66,42.67,1,9.65,42.48,4,9.65,42.83
2,9.45,52.02,3,9.44,52.11,1,9.42,51.90,4,9.46,52.29
2,9.22,1:01.24,3,9.21,1:01.32,1,9.23,1:01.13,4,9.19,1:01.48
2,9.06,1:10.30,3,9.06,1:10.38,1,9.06,1:10.19,4,9.01,1:10.49
2,9.02,1:19.32,3,8.96,1:19.34,1,9.04,1:19.23,4,8.93,1:19.42
3,9.92,1:29.233,4,10.29,1:29.626,1,9.25,1:28.479,2,9.17,1:28.586
