BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,Avalon AARDOOM POSITION,Avalon AARDOOM LAP TIME,Avalon AARDOOM ELAPSED TIME,Samantha MORRISON POSITION,Samantha MORRISON LAP TIME,Samantha MORRISON ELAPSED TIME,MYKHALCHUK Diana POSITION,MYKHALCHUK Diana LAP TIME,MYKHALCHUK Diana ELAPSED TIME
4,14.59,14.59,1,14.22,14.22,3,14.49,14.49,2,14.34,14.34
4,10.84,25.43,1,10.87,25.09,3,10.82,25.31,2,10.85,25.19
4,10.42,35.85,1,10.38,35.47,3,10.43,35.74,2,10.44,35.63
2,9.74,45.59,1,9.97,45.44,4,10.06,45.80,3,10.02,45.65
2,9.78,55.37,1,9.82,55.26,4,10.12,55.92,3,10.17,55.82
2,9.82,1:05.19,1,9.82,1:05.08,3,10.31,1:06.23,4,10.44,1:06.26
2,9.94,1:15.13,1,9.95,1:15.03,3,9.87,1:16.10,4,10.57,1:16.83
1,9.92,1:25.05,2,10.19,1:25.22,3,10.19,1:26.29,4,11.22,1:28.05
1,10.07,1:35.12,2,10.32,1:35.54,3,10.81,1:37.076,4,11.46,1:39.485
